intersection,direction,l,t,r,i,intersection,direction,l,t,r,i
TCB1200,sb,9.4,7.2,,,TCB1200,sb,A,A,,
TCB1200,wb,9.5,,8.2,,TCB1200,wb,A,,A,
TCB1200,nb,,9.4,9.4,,TCB1200,nb,,A,A,
TCB1200,intersection,,,,8.9,TCB1200,intersection,,,,A
TCBTCD,sb,12.1,6.3,,,TCBTCD,sb,B,A,,
TCBTCD,wb,10.8,,-,,TCBTCD,wb,B,,-,
TCBTCD,nb,,13.2,-,,TCBTCD,nb,,B,-,
TCBTCD,intersection,,,,11,TCBTCD,intersection,,,,B
UA1200,sb,3.4,7.5,4.6,,UA1200,sb,A,A,A,
UA1200,wb,69.6,0,66.4,,UA1200,wb,E,A,E,
UA1200,nb,5.9,0.2,0.1,,UA1200,nb,A,A,A,
UA1200,eb,71,63.6,72.7,,UA1200,eb,E,E,E,
UA1200,intersection,,,,10.1,UA1200,intersection,,,,B
UATCD,sb,71.5,2.3,0.2,,UATCD,sb,E,A,A,
UATCD,wb,90.4,47.2,51.8,,UATCD,wb,F,D,D,
UATCD,nb,80.7,17.6,14.9,,UATCD,nb,F,B,B,
UATCD,eb,74.3,55.9,71.7,,UATCD,eb,E,E,E,
UATCD,intersection,,,,25.7,UATCD,intersection,,,,C
